Animal,Descripción,Imagen,LinkWikidata,Velocidad,Nombre Cientifico,Familia,FamiliaDescr,Numero Obras,Obras Prado,Siglo Más popular,interés,link dbpedia,"interés "
Ardilla,"Se conoce como ardilla a ciertas especies de roedores esciuromorfos de la familia Sciuridae, entre las que se encuentran: Las especies del género Ratufa, el único de la subfamilia Ratufinae. La ardilla pigmea neotropical, la única especie de la subfamilia Sciurillinae. Las especies de la subfamilia Sciurinae. ",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Red_squirrel_on_tree_branch.jpg/330px-Red_squirrel_on_tree_branch.jpg,https://www.wikidata.org/wiki/Q858243,30 km/h,Sciurus vulgaris,,,0,,N/A,Alto,,
Águila,"Águila es el nombre dado a las aves de presa, del orden de Accipitriformes, ​, ​ familia Accipitridae, subfamilia Buteoninae. Pertenecen a varios géneros, los cuales están sujetos a una reclasificación más adecuada puesto que los expertos no llegan a una opinión consensuada.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Kaiseradler_Aquila_heliaca_2_amk.jpg/330px-Kaiseradler_Aquila_heliaca_2_amk.jpg,https://www.wikidata.org/wiki/Q2092297,,,Accipitridae,http://schema.org/description: clado de aves rapaces diurnas|http://www.w3.org/2000/01/rdf-schema#label: Accipitridae|http://www.w3.org/2004/02/skos/core#altLabel: Abejero|http://www.w3.org/2004/02/skos/core#altLabel: Accipítridos|http://www.w3.org/2004/02/skos/core#altLabel: Aguilucho|http://www.w3.org/2004/02/skos/core#altLabel: Buitre del Viejo Mundo|http://www.w3.org/2004/02/skos/core#altLabel: Buitres del Viejo Mundo|http://www.w3.org/2004/02/skos/core#altLabel: Circetinos|http://www.w3.org/2004/02/skos/core#altLabel: Egipinos|http://www.w3.org/2004/02/skos/core#altLabel: Elanio|http://www.w3.org/2004/02/skos/core#altLabel: Gavilanes de campo|,0,,N/A,Medio,,
asno,"La palabra «asno» procede del término que designa a este animal en latín: asinus, y que también es la usada en su nombre científico para designar a la subespecie doméstica. Los términos, también latinos, que designan a su género y especie, Equus africanus, significan literalmente «caballo africano».",https://t2.ea.ltmcdn.com/es/posts/9/8/4/cuanto_vive_un_burro_26489_600.jpg,https://www.wikidata.org/wiki/Q19707,24 km/h,Equus africanus asinus,,,234,"Rest on <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">The Flight into Egypt</a>||The Mystic Marriage of Saint Catherine, with <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q369691"" score=""1"" type=""http://www.wikidata.org/entity/Q215627"" href=""https://en.wikipedia.org/wiki/Saint_Ursula"">Saint Ursula</a> and a Donor|Nacimiento e Infancia de <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q642420"" score=""0,7179103"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://es.wikipedia.org/wiki/Cristo"">Cristo</a>|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q1029715"" score=""1"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Adoration_of_the_Shepherds"">Adoration of the Shepherds</a>|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q289957"" score=""1"" type=""http://www.wikidata.org/entity/Q215627""  href=""https://es.wikipedia.org/wiki/Jacob"">Jacob</a> y <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q207389"" score=""0,9234869"" type=""http://www.wikidata.org/entity/Q215627""  href=""https://es.wikipedia.org/wiki/Raquel"">Raquel</a> en el pozo abrevando los rebaños|Rediles|The Rest on <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">the Flight into Egypt</a>|Paisaje con cabaña y campesinos|River Landscape with Riders and a Tower|The Flight into Egypt|The Flight into Egypt|Paisaje con ruinas y una caballería|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q174353"" score=""0,6933613"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://es.wikipedia.org/wiki/Orfeo"">Orfeo</a> y los animales|Witches' Flight|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q2413468"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/The_Colossus_(painting)"">The Colossus</a>|A Landscape. Recollections of <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q5783"" score=""0,4792917"" type=""http://www.wikidata.org/entity/Q17334923"" href=""https://en.wikipedia.org/wiki/Andalusia"">Andalusia</a>: The Mediterranean Coast near <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q492737"" score=""0,4792917"" type=""http://www.wikidata.org/entity/Q17334923"" href=""https://en.wikipedia.org/wiki/Torremolinos"">Torremolinos</a>||Doorway of a House in <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q5836"" score=""1"" type=""http://www.wikidata.org/entity/Q17334923""  href=""https://en.wikipedia.org/wiki/Toledo,_Spain"">Toledo</a>|Viaje de <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q289957"" score=""0,7165468"" type=""http://www.wikidata.org/entity/Q215627"" href=""https://es.wikipedia.org/wiki/Jacob"">Jacob</a> a <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q163329"" score=""0,5391184"" type=""http://www.wikidata.org/entity/Q17334923"" href=""https://es.wikipedia.org/wiki/Canaán"">Canaán</a> o Viaje de <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q40520"" score=""0,9654894"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://es.wikipedia.org/wiki/Rebeca_(personaje_bíblico)"">Rebeca</a> a Canaán|El cántico de la profetisa María|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q214648"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://es.wikipedia.org/wiki/Sansón"">Sansón</a> destruyendo a los filisteos|The Prudent Abigail|Ixion|Paisaje con cascada|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q1029715"" score=""1"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Adoration_of_the_Shepherds"">The Adoration of the Shepherds</a>|Peasants conversing|La <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""0,7937005"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://es.wikipedia.org/wiki/Huida_a_Egipto"">huida a Egipto</a>|Mule Train and Gypsies in a Forest|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q47652"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Venus_(mythology)"">Venus</a> with an Organist and a Dog|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q47652"" score=""1"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Venus_(mythology)"">Venus</a> with an Organist and <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q5011"" score=""0,9593696"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Cupid"">Cupid</a>|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""0,7937005"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">The Flight into Egypt</a>|Condemned by <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q184725"" score=""1"" type=""http://www.wikidata.org/entity/Q43229"" href=""https://en.wikipedia.org/wiki/Spanish_Inquisition"">the Inquisition</a>|Man condemned by <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q184725"" score=""1"" type=""http://www.wikidata.org/entity/Q43229"" href=""https://en.wikipedia.org/wiki/Spanish_Inquisition"">the Inquisition</a>|Woman condemned by <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q184725"" score=""1"" type=""http://www.wikidata.org/entity/Q43229"" href=""https://en.wikipedia.org/wiki/Spanish_Inquisition"">the Inquisition</a>|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q51628"" score=""0,919727"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Nativity_of_Jesus"">The Nativity</a>|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q1029715"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Adoration_of_the_Shepherds"">The Adoration of the Shepherds</a>|Landscape of <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q542958"" score=""1"" type=""http://www.wikidata.org/entity/Q17334923""  href=""https://en.wikipedia.org/wiki/Torrelodones"">Torrelodones</a>|La vuelta al aprisco|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q289957"" score=""1"" type=""http://www.wikidata.org/entity/Q215627"" href=""https://es.wikipedia.org/wiki/Jacob"">Jacob</a> en el pozo|Partida de Jacob con sus rebaños|Partida de Jacob con sus rebaños|Viaje de Tobías y Sara|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q9181"" score=""1"" type=""http://www.wikidata.org/entity/Q215627""  href=""https://es.wikipedia.org/wiki/Abraham"">Abraham</a> e <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q671872"" score=""1"" type=""http://www.wikidata.org/entity/Q215627""  href=""https://es.wikipedia.org/wiki/Isaac"">Isaac</a> camino del sacrificio|La venta de José por sus hermanos|Joseph sold by his Brothers|La <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q691810"" score=""0,7937005"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://es.wikipedia.org/wiki/Visitación"">Visitación</a>|Auto-da-fé in the <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q1123493"" score=""1"" type=""http://www.wikidata.org/entity/Q17334923"" href=""https://en.wikipedia.org/wiki/Plaza_Mayor,_Madrid"">Plaza Mayor of Madrid</a>|Noé dirige la entrada de los animales en el arca|Landscape with the Cattle|Landscape with Shepherds|Un puerto|Paisaje con pastores y ganado|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q281988"" score=""0,6289611"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/The_Sacrifice"">The Sacrifice</a> of <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q9181"" score=""1"" type=""http://www.wikidata.org/entity/Q215627""  href=""https://en.wikipedia.org/wiki/Abraham"">Abraham</a>|Jacob's Journey|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">Flight into Egypt</a>|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q190"" score=""0,8550732"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/God"">God</a> reprimanding <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q70899"" score=""1"" type=""http://www.wikidata.org/entity/Q215627""  href=""https://en.wikipedia.org/wiki/Adam"">Adam</a>|El amor de Cupido y Psique|Triptych of <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q488841"" score=""0,9085603"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Adoration_of_the_Magi"">the Adoration of the Magi</a>|Bacchanal|Paisaje con ruinas de arquitectura|Paisaje frondoso con gruta|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q1029715"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Adoration_of_the_Shepherds"">The Adoration of the Shepherds</a>||Un país con cabras, bueyes y corderos|El parador de Navajas (afueras de <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q2807"" score=""1"" type=""http://www.wikidata.org/entity/Q17334923""  href=""https://es.wikipedia.org/wiki/Madrid"">Madrid</a>, en el portillo de <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q8818"" score=""1"" type=""http://www.wikidata.org/entity/Q17334923""  href=""https://es.wikipedia.org/wiki/Valencia"">Valencia</a>)|Paisaje. Arroyada de las huertas de Luche (cercanías de Madrid)|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q630823"" score=""0,9802116"" type=""http://www.wikidata.org/entity/Q215627"" href=""https://en.wikipedia.org/wiki/Sancho_Panza"">Sancho Panza</a> recovers his lost donkey|Cabaña con sus habitantes|Parada de cazadores|Escenas populares|The local Barber|Rest on <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">the Flight into Egypt</a>|Setting out with the Herd|Paisaje con figuras|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q4618"" score=""0,9085603"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Carnival"">Carnival</a> in <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q1747689"" score=""0,9884109"" type=""http://www.wikidata.org/entity/Q17334923"" href=""https://en.wikipedia.org/wiki/Ancient_Rome"">Rome</a>|Landscape|Landscape with a Wayfarer and Cavalry|Paisaje con vacas y cabras|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q480"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://es.wikipedia.org/wiki/Don_Quijote_de_la_Mancha"">Don Quijote</a> en el carro, saliendo de la venta|Entierro del pastor Crisóstomo|Salida de la venta por <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q480"" score=""0,9043142"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://es.wikipedia.org/wiki/Don_Quijote_de_la_Mancha"">don Quijote</a> encantado con toda la comitiva|La <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q51628"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://es.wikipedia.org/wiki/Natividad"">Natividad</a>|The Israelites drinking the miraculous Water|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q214648"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://es.wikipedia.org/wiki/Sansón"">Sansón</a>|The Flight into Egypt|Taking the Cattle out|Crossing the Pass|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">The Flight into Egypt</a>|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q19014"" score=""1"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Garden_of_Eden"">Earthly Paradise</a>|The Triumph of Bacchus|La vendimia|View of Toledo|The Rest on <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">the Flight into Egypt</a>|Landscape with <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q44248"" score=""1"" type=""http://www.wikidata.org/entity/Q215627"" href=""https://en.wikipedia.org/wiki/Jerome"">Saint Jerome</a>|Rest on <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""0,5556032"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">the Flight into Egypt</a>|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q691810"" score=""1"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Visitation_(Christianity)"">The Visitation</a>|The Flight into Egypt|Jacob's <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q464749"" score=""0,4356714"" type=""http://www.wikidata.org/entity/Q215627""  href=""https://en.wikipedia.org/wiki/Journey_(band)"">Journey</a>|The Rest on <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">the Flight into Egypt</a>||Los limosneros|Ribera de <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q818372"" score=""1"" type=""http://www.wikidata.org/entity/Q17334923""  href=""https://es.wikipedia.org/wiki/Cudillero"">Cudillero</a>|Fuente de San Pascual en <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q1993407"" score=""0,5550659"" type=""http://www.wikidata.org/entity/Q17334923"" href=""https://es.wikipedia.org/wiki/Genovés"">Genovés</a> (<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q8818"" score=""0,5550659"" type=""http://www.wikidata.org/entity/Q17334923"" href=""https://es.wikipedia.org/wiki/Valencia"">Valencia</a>)|The Rest on <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">the Flight into Egypt</a>|La Natividad|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q214648"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://es.wikipedia.org/wiki/Sansón"">Sansón</a> y los filisteos|La Huida a Egipto||The Grotto at <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q589347"" score=""0,8249977"" type=""http://www.wikidata.org/entity/Q17334923"" href=""https://en.wikipedia.org/wiki/Posillipo"">Posillipo</a> (<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q2634"" score=""0,9422953"" type=""http://www.wikidata.org/entity/Q17334923"" href=""https://en.wikipedia.org/wiki/Naples"">Naples</a>)|El cordel de las merinas|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q691810"" score=""1"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Visitation_(Christianity)"">The Visitation</a>|The Rest on <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">the Flight into Egypt</a>|Italian Landscape|The Flight into Egypt||Southern Landscape with Shepherds beneath a Ruined Arch|Paisaje con barcas|The Flight to Egypt|Caravana|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q200809"" score=""1"" type=""http://www.wikidata.org/entity/Q151885"" href=""https://es.wikipedia.org/wiki/Magníficat_(oración)"">Magnificat</a>|El suspiro del moro|Un país. Cercanías de <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q8717"" score=""0,7118725"" type=""http://www.wikidata.org/entity/Q17334923""  href=""https://es.wikipedia.org/wiki/Sevilla"">Sevilla</a>|Un carbonero despachando su mercancía a la puerta de una casa de vecindad|El patio de un parador|Camino de Los Villares (Sierra de Córdoba)|Un día más|The Virgin and <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q128267"" score=""1"" type=""http://www.wikidata.org/entity/Q215627""  href=""https://en.wikipedia.org/wiki/Saint_Joseph"">Saint Joseph</a> Adoring <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q302"" score=""1"" type=""http://www.wikidata.org/entity/Q215627""  href=""https://en.wikipedia.org/wiki/Jesus"">the Christ</a> Child|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q167477"" score=""0.86309165"" type=""http://www.wikidata.org/entity/Q215627""  href=""https://es.wikipedia.org/wiki/Antonio_de_Padua"">San Antonio de Padua</a> y el milagro de la mula||Viaje de Jacob|Romería andaluza|Paisaje con pastores|El viejo Esmirna|||||||||||||Cabeza de asno de perfil, relinchando|Cabeza de asno de frente|Cabeza de asno (en marco con figuras) y cabeza de galgo|The Literate Ass|Tres apuntes de asnos|Desnudo masculino sobre un asno|Apunte de aldeanas y cabeza de un asno|Apunte de un asno, hacia la derecha|Apunte de un asno, de frente|Apunte de un asno, hacia la izquierda|Apuntes de un farol, la cabeza de un asno y dos campesinos tumbados en <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q494781"" score=""0,9582038"" type=""http://www.wikidata.org/entity/Q17334923""  href=""https://es.wikipedia.org/wiki/Alcalá_de_Guadaíra"">Alcalá de Guadaíra</a>, <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q8717"" score=""0,7255408"" type=""http://www.wikidata.org/entity/Q17334923""  href=""https://es.wikipedia.org/wiki/Sevilla"">Sevilla</a>|Mula y asno abrebando|Samson slaying the philistine with the jawbone of the ass|Cabeza de asno|La partida de David|The Triumph of Bacchus|El buen samaritano|La Sabiduría y la Ignorancia (?)|Might not the pupil know more?|Of what ill will he die?|Thou Who Canst Not|Witches’ proclamation prohibiting those under the age of thirty, no matter how deserving they may be|Universal Language. The Author dreaming||Strange Devotion!|This is not less|Fifth|Feminine folly|A Donkey on Two Legs|Huerta de la Fábrica de armas de <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q5836"" score=""1"" type=""http://www.wikidata.org/entity/Q17334923""  href=""https://es.wikipedia.org/wiki/Toledo"">Toledo</a>|Rest on <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">The Flight into Egypt</a>|The Holy Family|<a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q583705"" score=""0,7937005"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/La_Celestina"">La Celestina</a> and the lovers|Rest on <a target=""_blank"" class=""entity"" about=""http://wikidata.org/entity/Q837143"" score=""1"" type=""http://www.wikidata.org/entity/Q151885""  href=""https://en.wikipedia.org/wiki/Flight_into_Egypt"">the Flight into Egypt</a>|Qué bello cuadro|Qué linda polla|Chasco, mala fiesta es esta|Landscape with Rest on the Flight to Egypt|Cain Killing Abel|The Holy Family, with the Infant St. John the Baptist and St. Catherine|Familia de gitanos|The Triumph of Silenus||||||||||||||||||||||||||||||||||||||||||||||",-1,Alto,,
Búho,"Las rapaces nocturnas o estrigiformes ​ son un orden de aves compuesto por la familias Tytonidae, y la familia Strigidae​ que incluye búhos, mochuelos, tecolotes, autillos, cárabos, el ñacurutú y el chuncho, entre otras.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Uhu-muc.jpg/1024px-Uhu-muc.jpg,https://www.wikidata.org/wiki/Q214293,24 km/h,Strigiformes,Strigidae,http://www.w3.org/2004/02/skos/core#altLabel: Estrigido|http://www.w3.org/2004/02/skos/core#altLabel: Estrígido|http://www.w3.org/2004/02/skos/core#altLabel: Estrigidos|http://www.w3.org/2004/02/skos/core#altLabel: Estrígidos|http://schema.org/description: familia de aves estrigiformes|http://www.w3.org/2000/01/rdf-schema#label: Strigidae|,0,,N/A,Bajo,,
Búfalo,"El bisonte americano, también denominado búfalo, ​ y —palabra en desuso— cíbolo, ​ es una especie de gran mamífero artiodáctilo de la familia de los bóvidos.​ ",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Bufala_de_agua.jpg/800px-Bufala_de_agua.jpg,https://www.wikidata.org/wiki/Q40435,57 km/h,Bubalus bubalis,,,0,,N/A,Alto,,
Caballo,"El caballo es un mamífero perisodáctilo domesticado de la familia de los équidos. Es un herbívoro de gran porte, con cuello largo y arqueado poblado por largas crines.​​A la hembra del caballo se le llama yegua y a las crías, si son machos, potros o potrillos, y si son hembras, potras o potrancas.",,https://www.wikidata.org/wiki/Q726,71 km/h (Maximum),Equus ferus caballus,Equidae,http://schema.org/description: familia de mamíferos|http://www.w3.org/2000/01/rdf-schema#label: Equidae|http://www.w3.org/2004/02/skos/core#altLabel: Equus|http://www.w3.org/2004/02/skos/core#altLabel: Cebras|http://www.w3.org/2004/02/skos/core#altLabel: Equido|http://www.w3.org/2004/02/skos/core#altLabel: Équido|http://www.w3.org/2004/02/skos/core#altLabel: Equidos|http://www.w3.org/2004/02/skos/core#altLabel: Équidos|http://www.w3.org/2004/02/skos/core#altLabel: Equinos|http://www.w3.org/2004/02/skos/core#altLabel: Ganado equino|,0,,N/A,Medio,,
Caracol,Los caracoles son moluscos gastrópodos que se encuentran tanto en ambientes terrestres como acuáticos. Son conocidos por su concha en espiral y su movimiento lento debido a la secreción de moco que les ayuda a desplazarse.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Snail1web.jpg/330px-Snail1web.jpg,https://www.wikidata.org/wiki/Q927080,0.03 km/h,Helix aspersus ,,,0,,N/A,Bajo,,
camaleon,"Los camaleones son una familia de pequeños saurópsidos escamosos. Existen cerca de 161 especies de camaleones, la mayor parte de ellas en África, al sur del Sáhara. En América se llama a menudo camaleones a lagartos de la familia de los anoles, que no guardan ningún parentesco especial con los verdaderos camaleones. ",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Chameleon_%2816139192778%29.jpg/330px-Chameleon_%2816139192778%29.jpg,https://www.wikidata.org/wiki/Q37686,100 km/h (Maximum),Chamaeleonidae,,,3,,N/A,Medio,,
Conejo,"El conejo común o conejo europeo es una especie de mamífero lagomorfo de la familia Leporidae, y el único miembro actual del género Oryctolagus. Mide hasta 50 cm y su masa puede ser hasta 2.5 kg. Ha sido introducido en varios continentes y es la especie que se utiliza en la cocina y en la cunicultura.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Ikesbunny.jpg/330px-Ikesbunny.jpg,https://www.wikidata.org/wiki/Q9394,40 km/h,Oryctolagus cuniculus,Leporidae,http://schema.org/description: familia de mamíferos|http://www.w3.org/2000/01/rdf-schema#label: Leporidae|http://www.w3.org/2004/02/skos/core#altLabel: Conejos|http://www.w3.org/2004/02/skos/core#altLabel: Conejos y liebres|http://www.w3.org/2004/02/skos/core#altLabel: Leporido|http://www.w3.org/2004/02/skos/core#altLabel: Lepórido|http://www.w3.org/2004/02/skos/core#altLabel: Leporidos|http://www.w3.org/2004/02/skos/core#altLabel: Lepóridos|,0,,N/A,Intermedio,https://es.dbpedia.org/page/Categor%C3%ADa:Conejos,
Ciervo,"Los cérvidos son una familia de mamíferos artiodáctilos que incluye los ciervos o venados. Su tamaño es variable, siendo el alce el mayor, y el venadito o pudú del norte, el menor, con unos 8 o 10 kg.",https://upload.wikimedia.org/wikipedia/commons/4/4b/Silz_cerf20-2.jpg,https://www.wikidata.org/wiki/Q37548859,70 km/h (Maximum),Cervus elaphus,,,0,,N/A,,,
